Adana; 15
AKP; 24.30; 4
MHP; 6.21; 1
CHP; 29.84; 5
IYIP; 16.19; 3
SP; 0.70; 0
YSP; 12.20; 2
DEVA; 1.17; 0
GP; 0.82; 0
TIP; 2.08; 0
MP; 2.43; 0
ZP; 0.98; 0
BBP; 0.43; 0
YRP; 1.79; 0
DP; 0.12; 0
HUDAPAR; 0.53; 0

Adiyaman; 5
AKP; 42.03; 3
MHP; 6.86; 0
CHP; 16.47; 1
IYIP; 8.70; 0
SP; 0.90; 0
YSP; 14.20; 1
DEVA; 1.75; 0
GP; 1.29; 0
TIP; 1.17; 0
MP; 1.12; 0
ZP; 0.69; 0
BBP; 0.60; 0
YRP; 2.84; 0
DP; 0.05; 0
HUDAPAR; 1.15; 0

Afyonkarahisar; 6
AKP; 39.19; 3
MHP; 7.38; 0
CHP; 22.29; 2
IYIP; 18.67; 1
SP; 0.61; 0
YSP; 1.15; 0
DEVA; 1.77; 0
GP; 1.26; 0
TIP; 1.01; 0
MP; 1.49; 0
ZP; 1.14; 0
BBP; 0.65; 0
YRP; 2.83; 0
DP; 0.10; 0
HUDAPAR; 0.21; 0

Agri; 4
AKP; 24.60; 1
MHP; 2.19; 0
CHP; 4.08; 0
IYIP; 2.53; 0
SP; 0.62; 0
YSP; 59.36; 3
DEVA; 0.90; 0
GP; 0.81; 0
TIP; 1.61; 0
MP; 0.28; 0
ZP; 0.19; 0
BBP; 0.29; 0
YRP; 1.48; 0
DP; 0.02; 0
HUDAPAR; 0.73; 0

Aksaray; 4
AKP; 36.61; 2
MHP; 12.68; 0
CHP; 20.94; 1
IYIP; 17.40; 1
SP; 0.46; 0
YSP; 1.45; 0
DEVA; 1.78; 0
GP; 1.28; 0
TIP; 0.71; 0
MP; 1.05; 0
ZP; 1.53; 0
BBP; 0.71; 0
YRP; 2.86; 0
DP; 0.08; 0
HUDAPAR; 0.26; 0

Amasya; 3
AKP; 32.76; 1
MHP; 6.61; 0
CHP; 29.95; 1
IYIP; 16.86; 1
SP; 0.65; 0
YSP; 2.04; 0
DEVA; 1.54; 0
GP; 1.08; 0
TIP; 1.73; 0
MP; 2.32; 0
ZP; 1.02; 0
BBP; 0.55; 0
YRP; 2.41; 0
DP; 0.12; 0
HUDAPAR; 0.15; 0

Ankara I; 13
AKP; 21.18; 3
MHP; 5.31; 0
CHP; 37.47; 6
IYIP; 16.18; 3
SP; 0.91; 0
YSP; 7.82; 1
DEVA; 1.08; 0
GP; 0.72; 0
TIP; 2.61; 0
MP; 3.23; 0
ZP; 0.91; 0
BBP; 0.39; 0
YRP; 1.61; 0
DP; 0.14; 0
HUDAPAR; 0.09; 0

Ankara II; 11
AKP; 35.23; 5
MHP; 8.93; 1
CHP; 24.76; 3
IYIP; 15.77; 2
SP; 0.88; 0
YSP; 3.84; 0
DEVA; 1.65; 0
GP; 1.17; 0
TIP; 1.29; 0
MP; 1.68; 0
ZP; 1.16; 0
BBP; 0.61; 0
YRP; 2.64; 0
DP; 0.09; 0
HUDAPAR; 0.11; 0

Ankara III; 12
AKP; 28.07; 4
MHP; 7.05; 1
CHP; 29.69; 4
IYIP; 18.35; 3
SP; 0.99; 0
YSP; 5.24; 0
DEVA; 1.36; 0
GP; 0.95; 0
TIP; 1.75; 0
MP; 2.27; 0
ZP; 1.15; 0
BBP; 0.51; 0
YRP; 2.14; 0
DP; 0.12; 0
HUDAPAR; 0.11; 0

Antalya; 16
AKP; 24.80; 5
MHP; 3.98; 0
CHP; 32.45; 6
IYIP; 20.74; 4
SP; 0.63; 0
YSP; 6.58; 1
DEVA; 1.19; 0
GP; 0.81; 0
TIP; 2.15; 0
MP; 2.79; 0
ZP; 0.95; 0
BBP; 0.42; 0
YRP; 1.80; 0
DP; 0.15; 0
HUDAPAR; 0.21; 0

Ardahan; 2
AKP; 27.93; 1
MHP; 4.83; 0
CHP; 27.17; 1
IYIP; 8.01; 0
SP; 0.64; 0
YSP; 21.09; 0
DEVA; 1.24; 0
GP; 0.91; 0
TIP; 2.29; 0
MP; 2.27; 0
ZP; 0.53; 0
BBP; 0.41; 0
YRP; 1.91; 0
DP; 0.08; 0
HUDAPAR; 0.34; 0

Artvin; 2
AKP; 28.40; 1
MHP; 5.72; 0
CHP; 34.70; 1
IYIP; 14.27; 0
SP; 0.88; 0
YSP; 4.37; 0
DEVA; 1.37; 0
GP; 0.94; 0
TIP; 2.29; 0
MP; 2.89; 0
ZP; 0.84; 0
BBP; 0.47; 0
YRP; 2.10; 0
DP; 0.12; 0
HUDAPAR; 0.27; 0

Aydin; 8
AKP; 23.33; 2
MHP; 3.52; 0
CHP; 35.24; 4
IYIP; 17.98; 2
SP; 0.47; 0
YSP; 8.32; 0
DEVA; 1.13; 0
GP; 0.76; 0
TIP; 2.52; 0
MP; 3.15; 0
ZP; 0.78; 0
BBP; 0.38; 0
YRP; 1.66; 0
DP; 0.15; 0
HUDAPAR; 0.24; 0

Balikesir; 9
AKP; 30.32; 3
MHP; 3.38; 0
CHP; 32.42; 4
IYIP; 18.03; 2
SP; 0.71; 0
YSP; 3.78; 0
DEVA; 1.39; 0
GP; 0.95; 0
TIP; 2.16; 0
MP; 2.85; 0
ZP; 0.74; 0
BBP; 0.46; 0
YRP; 2.13; 0
DP; 0.14; 0
HUDAPAR; 0.17; 0

Bartin; 2
AKP; 30.49; 1
MHP; 11.85; 0
CHP; 31.62; 1
IYIP; 11.48; 0
SP; 1.23; 0
YSP; 1.54; 0
DEVA; 1.55; 0
GP; 1.08; 0
TIP; 1.77; 0
MP; 2.25; 0
ZP; 1.22; 0
BBP; 0.60; 0
YRP; 2.46; 0
DP; 0.08; 0
HUDAPAR; 0.27; 0

Batman; 5
AKP; 21.66; 1
MHP; 1.08; 0
CHP; 2.97; 0
IYIP; 1.96; 0
SP; 2.43; 0
YSP; 59.47; 4
DEVA; 0.78; 0
GP; 0.72; 0
TIP; 1.53; 0
MP; 0.18; 0
ZP; 0.10; 0
BBP; 0.24; 0
YRP; 1.40; 0
DP; 0.01; 0
HUDAPAR; 5.31; 0

Bayburt; 1
AKP; 34.26; 1
MHP; 20.55; 0
CHP; 18.03; 0
IYIP; 14.26; 0
SP; 1.80; 0
YSP; 1.13; 0
DEVA; 1.80; 0
GP; 1.31; 0
TIP; 0.32; 0
MP; 0.49; 0
ZP; 1.92; 0
BBP; 0.79; 0
YRP; 3.04; 0
DP; 0.04; 0
HUDAPAR; 0.15; 0

Bilecik; 2
AKP; 31.17; 1
MHP; 4.39; 0
CHP; 31.43; 1
IYIP; 17.97; 0
SP; 0.67; 0
YSP; 3.01; 0
DEVA; 1.44; 0
GP; 0.99; 0
TIP; 1.99; 0
MP; 2.65; 0
ZP; 0.85; 0
BBP; 0.49; 0
YRP; 2.23; 0
DP; 0.13; 0
HUDAPAR; 0.30; 0

Bingol; 3
AKP; 45.39; 2
MHP; 4.76; 0
CHP; 5.64; 0
IYIP; 6.06; 0
SP; 0.62; 0
YSP; 25.24; 1
DEVA; 1.72; 0
GP; 1.33; 0
TIP; 0.76; 0
MP; 0.28; 0
ZP; 0.46; 0
BBP; 0.57; 0
YRP; 2.82; 0
DP; 0.03; 0
HUDAPAR; 4.08; 0

Bitlis; 3
AKP; 37.57; 1
MHP; 3.39; 0
CHP; 4.95; 0
IYIP; 4.67; 0
SP; 0.72; 0
YSP; 40.24; 2
DEVA; 1.40; 0
GP; 1.13; 0
TIP; 1.15; 0
MP; 0.30; 0
ZP; 0.32; 0
BBP; 0.46; 0
YRP; 2.30; 0
DP; 0.02; 0
HUDAPAR; 1.04; 0

Bolu; 3
AKP; 35.59; 2
MHP; 9.55; 0
CHP; 27.03; 1
IYIP; 13.93; 0
SP; 0.85; 0
YSP; 1.88; 0
DEVA; 1.69; 0
GP; 1.19; 0
TIP; 1.43; 0
MP; 1.88; 0
ZP; 1.13; 0
BBP; 0.62; 0
YRP; 2.69; 0
DP; 0.09; 0
HUDAPAR; 0.18; 0

Burdur; 3
