District, People, , Nation, , Labour, , Others, 
Nationwide, 42.03, 257, 42.49, 269, 12.43, 74, 3.05, 0
Adana, 34.49, 5, 48.54, 8, 13.50, 2, 3.47, 0
Adiyaman, 53.93, 3, 29.35, 1, 14.83, 1, 1.88, 0
Afyonkarahisar, 54.97, 3, 39.91, 3, 2.10, 0, 3.02, 0
Agri, 29.46, 1, 8.44, 0, 61.59, 3, 0.51, 0
Aksaray, 60.66, 2, 34.21, 2, 2.07, 0, 3.05, 0
Amasya, 44.72, 2, 48.22, 1, 3.60, 0, 3.46, 0
Ankara I, 28.77, 3, 57.60, 9, 9.63, 1, 4.00, 0
Ankara II, 52.29, 6, 39.62, 5, 4.98, 0, 3.12, 0
Ankara III, 40.45, 5, 49.27, 7, 6.67, 0, 3.61, 0
Antalya, 31.34, 5, 56.64, 11, 8.20, 1, 3.82, 0
Ardahan, 35.43, 1, 39.79, 1, 22.18, 0, 2.60, 0
Artvin, 37.52, 1, 52.62, 1, 6.24, 0, 3.62, 0
Aydin, 28.40, 2, 57.73, 5, 10.05, 1, 3.82, 0
Balikesir, 35.63, 3, 55.23, 6, 5.60, 0, 3.55, 0
Bartin, 49.43, 1, 44.00, 1, 3.09, 0, 3.47, 0
Batman, 23.79, 1, 15.28, 1, 60.63, 3, 0.30, 0
Bayburt, 71.51, 1, 24.04, 0, 1.42, 0, 3.03, 0
Bilecik, 38.76, 1, 52.98, 1, 4.73, 0, 3.53, 0
Bingol, 60.30, 2, 12.19, 0, 26.58, 1, 0.93, 0
Bitlis, 43.78, 1, 14.37, 0, 41.12, 2, 0.73, 0
Bolu, 53.47, 2, 40.15, 1, 3.19, 0, 3.19, 0
Burdur, 39.68, 1, 53.63, 2, 3.04, 0, 3.65, 0
Bursa I, 39.37, 4, 51.37, 6, 5.83, 0, 3.43, 0
Bursa II, 48.34, 5, 41.40, 4, 7.30, 1, 2.96, 0
Canakkale, 31.01, 1, 59.83, 3, 5.33, 0, 3.83, 0
Cankiri, 62.91, 1, 32.78, 1, 1.46, 0, 2.85, 0
Corum, 51.29, 2, 41.20, 2, 4.48, 0, 3.03, 0
Denizli, 35.89, 3, 55.15, 4, 5.30, 0, 3.65, 0
Diyarbakir, 25.27, 3, 9.38, 0, 64.89, 9, 0.45, 0
Duzce, 60.39, 2, 33.88, 1, 2.76, 0, 2.97, 0
Edirne, 22.22, 1, 67.63, 3, 5.81, 0, 4.33, 0
Elazig, 59.03, 4, 28.39, 1, 10.19, 0, 2.39, 0
Erzincan, 49.43, 1, 40.62, 1, 6.45, 0, 3.50, 0
Erzurum, 63.18, 4, 22.43, 1, 11.94, 1, 2.45, 0
Eskisehir, 34.77, 2, 55.75, 4, 5.70, 0, 3.79, 0
Gaziantep, 54.19, 7, 31.31, 5, 11.96, 2, 2.53, 0
Giresun, 50.48, 2, 43.94, 2, 2.56, 0, 3.02, 0
Gumushane, 61.59, 1, 33.76, 1, 1.70, 0, 2.95, 0
Hakkari, 21.33, 0, 9.73, 0, 68.32, 3, 0.62, 0
Hatay, 38.37, 4, 46.60, 6, 11.37, 1, 3.67, 0
Igdir, 37.45, 0, 16.13, 0, 43.77, 2, 2.65, 0
Isparta, 45.25, 2, 48.36, 2, 3.02, 0, 3.37, 0
Istanbul I, 38.24, 14, 47.04, 18, 11.61, 3, 3.11, 0
Istanbul II, 42.38, 12, 42.39, 12, 12.42, 3, 2.80, 0
Istanbul III, 39.59, 14, 43.23, 17, 14.28, 5, 2.90, 0
Izmir I, 24.33, 3, 59.11, 9, 12.74, 2, 3.82, 0
Izmir II, 24.48, 3, 60.43, 10, 11.13, 1, 3.97, 0
Kahramanmaras, 62.58, 6, 30.44, 2, 4.29, 0, 2.70, 0
Karabuk, 53.42, 2, 41.08, 1, 2.44, 0, 3.06, 0
